"Sanction Counts, Trend"
"All Districts"

"",,,"Year",,,,
"District","District Code","Sanction Type","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","In-School Suspension",701,1280,301,287,1225
"Achievement First Hartford Academy Inc. District","=""2880013""","Out-of-School Suspension",1102,1678,825,759,338
"Achievement First Hartford Academy Inc. District","=""2880013""","Expulsion","*","*",0,"*",11
"Achievement First Hartford Academy Inc. District","=""2880013""","Bus Suspension",0,"*","*",42,37
"Amistad Academy District","=""2790013""","In-School Suspension",385,1507,1287,835,492
"Amistad Academy District","=""2790013""","Out-of-School Suspension",99,205,549,472,366
"Amistad Academy District","=""2790013""","Expulsion",9,"*","*","*",8
"Amistad Academy District","=""2790013""","Bus Suspension",0,"*",41,26,"*"
"Andover School District","=""0010011""","In-School Suspension",0,0,0,"*","*"
"Andover School District","=""0010011""","Out-of-School Suspension","*","*","*","*",0
"Andover School District","=""0010011""","Expulsion",0,0,0,0,0
"Andover School District","=""0010011""","Bus Suspension",0,0,0,0,0
"Ansonia School District","=""0020011""","In-School Suspension",471,394,277,98,107
"Ansonia School District","=""0020011""","Out-of-School Suspension",184,245,240,190,253
"Ansonia School District","=""0020011""","Expulsion",7,9,14,14,8
"Ansonia School District","=""0020011""","Bus Suspension","*",0,0,0,0
"Area Cooperative Educational Services","=""2440014""","In-School Suspension",255,300,220,286,170
"Area Cooperative Educational Services","=""2440014""","Out-of-School Suspension",358,269,324,281,330
"Area Cooperative Educational Services","=""2440014""","Expulsion","*",0,0,0,0
"Area Cooperative Educational Services","=""2440014""","Bus Suspension",26,14,27,45,18
"Ashford School District","=""0030011""","In-School Suspension",14,30,13,26,12
"Ashford School District","=""0030011""","Out-of-School Suspension","*",6,"*","*","*"
"Ashford School District","=""0030011""","Expulsion",0,0,0,0,0
"Ashford School District","=""0030011""","Bus Suspension",13,"*","*",6,"*"
"Avon School District","=""0040011""","In-School Suspension",65,91,64,63,68
"Avon School District","=""0040011""","Out-of-School Suspension",26,23,34,23,32
"Avon School District","=""0040011""","Expulsion","*",0,"*","*","*"
"Avon School District","=""0040011""","Bus Suspension","*","*",0,"*","*"
"Barkhamsted School District","=""0050011""","In-School Suspension","*","*",6,6,0
"Barkhamsted School District","=""0050011""","Out-of-School Suspension",0,0,"*","*",0
"Barkhamsted School District","=""0050011""","Expulsion",0,0,0,0,0
"Barkhamsted School District","=""0050011""","Bus Suspension",0,0,"*",0,0
"Berlin School District","=""0070011""","In-School Suspension",391,251,198,159,133
"Berlin School District","=""0070011""","Out-of-School Suspension",54,51,44,30,14
"Berlin School District","=""0070011""","Expulsion","*","*",0,"*","*"
"Berlin School District","=""0070011""","Bus Suspension",0,"*",0,"*",0
"Bethany School District","=""0080011""","In-School Suspension","*","*","*","*","*"
"Bethany School District","=""0080011""","Out-of-School Suspension","*","*","*","*","*"
"Bethany School District","=""0080011""","Expulsion",0,0,0,0,0
"Bethany School District","=""0080011""","Bus Suspension",0,0,0,"*",0
"Bethel School District","=""0090011""","In-School Suspension",432,493,375,430,408
"Bethel School District","=""0090011""","Out-of-School Suspension",21,41,18,29,37
"Bethel School District","=""0090011""","Expulsion","*",10,"*",6,8
"Bethel School District","=""0090011""","Bus Suspension",8,13,"*",7,"*"
"Bloomfield School District","=""0110011""","In-School Suspension",362,354,374,296,331
"Bloomfield School District","=""0110011""","Out-of-School Suspension",232,233,239,229,226
"Bloomfield School District","=""0110011""","Expulsion","*",11,20,"*",13
"Bloomfield School District","=""0110011""","Bus Suspension",19,8,9,"*","*"
"Bolton School District","=""0120011""","In-School Suspension",16,15,40,52,57
"Bolton School District","=""0120011""","Out-of-School Suspension",26,25,9,29,10
"Bolton School District","=""0120011""","Expulsion",0,"*",0,"*",0
"Bolton School District","=""0120011""","Bus Suspension",0,0,0,"*","*"
"Booker T. Washington Academy District","=""2950013""","In-School Suspension",0,0,0,48,50
"Booker T. Washington Academy District","=""2950013""","Out-of-School Suspension",0,0,0,"*","*"
"Booker T. Washington Academy District","=""2950013""","Expulsion",0,0,0,0,0
"Booker T. Washington Academy District","=""2950013""","Bus Suspension",0,0,0,"*","*"
"Bozrah School District","=""0130011""","In-School Suspension","*",6,6,"*","*"
"Bozrah School District","=""0130011""","Out-of-School Suspension","*","*","*","*","*"
"Bozrah School District","=""0130011""","Expulsion",0,0,0,0,0
"Bozrah School District","=""0130011""","Bus Suspension",0,"*","*","*","*"
"Branford School District","=""0140011""","In-School Suspension",314,283,332,288,250
"Branford School District","=""0140011""","Out-of-School Suspension",70,83,127,110,114
"Branford School District","=""0140011""","Expulsion",0,0,"*",0,"*"
"Branford School District","=""0140011""","Bus Suspension",0,"*",0,"*","*"
"Brass City Charter School District","=""2900013""","In-School Suspension",0,0,0,"*","*"
"Brass City Charter School District","=""2900013""","Out-of-School Suspension",0,0,0,16,9
"Brass City Charter School District","=""2900013""","Expulsion",0,0,0,0,0
"Brass City Charter School District","=""2900013""","Bus Suspension",0,0,0,0,0
"Bridgeport Achievement First District","=""2850013""","In-School Suspension",598,156,1148,1123,504
"Bridgeport Achievement First District","=""2850013""","Out-of-School Suspension",169,205,367,518,285
"Bridgeport Achievement First District","=""2850013""","Expulsion","*","*","*","*",9
"Bridgeport Achievement First District","=""2850013""","Bus Suspension",0,0,44,47,70
"Bridgeport School District","=""0150011""","In-School Suspension",5688,5329,4214,4536,5085
"Bridgeport School District","=""0150011""","Out-of-School Suspension",5158,4181,4783,3937,3393
"Bridgeport School District","=""0150011""","Expulsion",45,51,54,44,76
"Bridgeport School District","=""0150011""","Bus Suspension",56,59,45,19,16
"Bristol School District","=""0170011""","In-School Suspension",1284,1212,1214,1032,998
"Bristol School District","=""0170011""","Out-of-School Suspension",511,542,566,503,484
"Bristol School District","=""0170011""","Expulsion",13,16,15,13,13
"Bristol School District","=""0170011""","Bus Suspension",18,36,40,52,52
"Brookfield School District","=""0180011""","In-School Suspension",126,101,72,83,75
"Brookfield School District","=""0180011""","Out-of-School Suspension",33,19,40,44,41
"Brookfield School District","=""0180011""","Expulsion",0,0,0,"*",0
"Brookfield School District","=""0180011""","Bus Suspension",0,"*","*","*",0
"Brooklyn School District","=""0190011""","In-School Suspension",121,80,103,71,74
"Brooklyn School District","=""0190011""","Out-of-School Suspension",19,"*",16,"*",20
"Brooklyn School District","=""0190011""","Expulsion",0,0,0,0,0
"Brooklyn School District","=""0190011""","Bus Suspension",31,29,9,11,57
"Canaan School District","=""0210011""","In-School Suspension",0,"*",0,0,0
"Canaan School District","=""0210011""","Out-of-School Suspension",0,0,"*",0,"*"
"Canaan School District","=""0210011""","Expulsion",0,0,0,0,0
"Canaan School District","=""0210011""","Bus Suspension",0,0,"*",0,0
"Canterbury School District","=""0220011""","In-School Suspension",32,22,24,17,0
"Canterbury School District","=""0220011""","Out-of-School Suspension","*",6,6,"*",11
"Canterbury School District","=""0220011""","Expulsion",0,"*",0,0,0
"Canterbury School District","=""0220011""","Bus Suspension","*","*",0,"*","*"
"Canton School District","=""0230011""","In-School Suspension",61,42,16,21,53
"Canton School District","=""0230011""","Out-of-School Suspension",19,8,6,10,23
"Canton School District","=""0230011""","Expulsion",0,0,0,0,0
"Canton School District","=""0230011""","Bus Suspension",0,0,0,0,0
"Capital Preparatory Harbor School Inc. District","=""2970013""","In-School Suspension",0,0,0,0,0
"Capital Preparatory Harbor School Inc. District","=""2970013""","Out-of-School Suspension",0,0,0,0,93
"Capital Preparatory Harbor School Inc. District","=""2970013""","Expulsion",0,0,0,0,"*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Bus Suspension",0,0,0,0,0
